Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",C1206,3,100nF,
C3,C1206,1,4700nF,
D1,SMA_DO_214AC,1,1N4001,
F1,F1206,1,Polyfuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
"L1, L2",L1206,2,LED,
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
"R1, R2",R1206,2,1k,
"R3, R4",R1206,2,10k,
"R5, R6",R1206,2,5.1k,
SW1,SW_Push_SMD,1,RESET,
SW2,SW_Push_SMD,1,BOOT,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH552G,
